"name","comment","reference_version","target_version"
"epo:ContextDescription","(renamed from epo:ContextSpecificDescription)","3.1.0","4.0.0-rc.1"
"epo:Certificate","(moved from ePO Catalogue module)","3.1.0","4.0.0-rc.1"
"epo:CertificationLabel","(moved from ePO Catalogue module)","3.1.0","4.0.0-rc.1"
"epo:ChangeInformation","(renamed from epo:NoticeChangeInformation)","3.1.0","4.0.0-rc.1"
"epo:Certifier","(moved form ePO Catalogue module)","3.1.0","4.0.0-rc.1"
"epo:AdHocChannel","","3.1.0","4.0.0-rc.1"
"epo:AwardCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:AwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:Candidate","","3.1.0","4.0.0-rc.1"
"epo:DirectContract","","3.1.0","4.0.0-rc.1"
"epo:DynamicPurchaseSystemTechnique","(renamed from epo:DynamicPurchaseSystemTechniqueUsage)","3.1.0","4.0.0-rc.1"
"epo:EAuctionTechnique","(renamed from epo:EAuctionTechniqueUsage)","3.1.0","4.0.0-rc.1"
"epo:EconomicStandingSummary","","3.1.0","4.0.0-rc.1"
"epo:ElectronicSignature","","3.1.0","4.0.0-rc.1"
"epo:ExclusionGroundsSummary","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTechnique","(renamed from epo:FrameworkAgreementTechniqueUsage)","3.1.0","4.0.0-rc.1"
"epo:JuryMember","","3.1.0","4.0.0-rc.1"
"epo:MiniCompetitionAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:NonDisclosureAgreementTerm","","3.1.0","4.0.0-rc.1"
"epo:NonPublishedInformation","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","(renamed from epo:NoticeChange)","3.1.0","4.0.0-rc.1"
"epo:OfferIssuer","","3.1.0","4.0.0-rc.1"
"epo:Offer","","3.1.0","4.0.0-rc.1"
"epo:OriginatorRequest","","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","","3.1.0","4.0.0-rc.1"
"epo:ParticipationCondition","","3.1.0","4.0.0-rc.1"
"epo:ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:ProfessionalSuitabilitySummary","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:QualificationCriterion","","3.1.0","4.0.0-rc.1"
"epo:SelectedCandidateList","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:TechnicalAbilitySummary","","3.1.0","4.0.0-rc.1"
"epo:Technique","(renamed from epo:TechniqueUsage)","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","","3.1.0","4.0.0-rc.1"
"adms:Identifier","(renamed from epo:Identifier)","3.1.0","4.0.0-rc.1"
"epo-cat:InformationHub","","3.1.0","4.0.0-rc.1"
"epo-cat:Line","","3.1.0","4.0.0-rc.1"
"epo-cat:PostAwardDocument","","3.1.0","4.0.0-rc.1"
"epo-cat:Certificate","(renamed from epo-cat:ItemCertificate)","3.1.0","4.0.0-rc.1"
"epo-cat:ItemProperty","(renamed from epo-cat:ItemDescription)","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryAgreement","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceInformation","(renamed from epo-ord:DiscountInformation)","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation","(renamed from epo-ord:PriceModifierInformation)","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","","3.1.0","4.0.0-rc.1"
"epo-not:PreMarketConsultationNotice","","3.1.0","4.0.0-rc.1"
