"name","reference_version","target_version"
"epo:ContextSpecificDescription (renamed to epo:ContextDescription)","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed to epo:ChangeInformation)","3.1.0","4.0.0-rc.1"
"epo:Certificate (moved to ePO Core module)","3.1.0","4.0.0-rc.1"
"epo:CertificationLabel (moved to ePO Core module)","3.1.0","4.0.0-rc.1"
"epo:Certifier (moved to ePO Core module)","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueFragment","3.1.0","4.0.0-rc.1"
"epo:ContractModification","3.1.0","4.0.0-rc.1"
"epo:ElementDescription","3.1.0","4.0.0-rc.1"
"epo:ElementModificationDescription","3.1.0","4.0.0-rc.1"
"epo:ElementChangeDescription","3.1.0","4.0.0-rc.1"
"epo:ElementConfidentialityDescription","3.1.0","4.0.0-rc.1"
"epo:NoticeDescription","3.1.0","4.0.0-rc.1"
"epo:PublicationProvision","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueDocument","3.1.0","4.0.0-rc.1"
"epo-cat:CatalogueUpdateDocument === eOrdering","3.1.0","4.0.0-rc.1"
"epo-ful:Carrier","3.1.0","4.0.0-rc.1"
"epo-ful:Invoicer","3.1.0","4.0.0-rc.1"
"epo-ord:Beneficiary","3.1.0","4.0.0-rc.1"
"epo-ord:Invoicee","3.1.0","4.0.0-rc.1"
"epo-ord:Ordering","3.1.0","4.0.0-rc.1"
"epo-not:PMCNotice","3.1.0","4.0.0-rc.1"
