"class","comment","added_attributes","comment","deleted_attributes","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Procedure","","","","http://data.europa.eu/a4g/ontology#hasLotMinimumSubmission","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Procedure","","","","http://data.europa.eu/a4g/ontology#hasLotSubmissionLimit","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Procedure","","","","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfLotsToBeAwarded","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Tender","","","","http://data.europa.eu/a4g/ontology#hasCalculationMethod","","3.0.0","3.0.1"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasBuyerLegalTypeDescription","","http://data.europa.eu/a4g/ontology#hasBuyerTypeDescription","","3.0.0","3.0.1"
"http://www.w3.org/ns/org#Organization","","http://data.europa.eu/a4g/ontology#hasMainActivityDescription","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Buyer","","","","http://data.europa.eu/a4g/ontology#hasBuyerTypeDescription","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#MultipleStageProcedureTerm","","http://data.europa.eu/a4g/ontology#hasQualificationSystemRenewalDescription","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#hasLotAwardCombination","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#hasMaximumLotSubmissionAllowed","","http://data.europa.eu/a4g/ontology#hasLotSubmissionLimit","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfLotsToBeAwarded","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#hasNationalProcedureRules","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#isOneLotOnlyAllowed","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ProcedureTerm","","http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsAllowed","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","","http://data.europa.eu/a4g/ontology#hasReceiptExpressionDeadline","from epo:ProcedureTerm","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasNonAwardedContractNumber","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#LotAwardOutcome","","http://data.europa.eu/a4g/ontology#hasNonAwardedContractTitle","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ConcessionEstimate","","http://data.europa.eu/a4g/ontology#hasCalculationMethod","from epo:Tender","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Duration","","","","http://www.w3.org/2006/time#numericDuration","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#SpecificDuration","","http://www.w3.org/2006/time#numericDuration","","","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#ChargeInformation","","","","http://data.europa.eu/a4g/ontology#hasPricePercentage","","3.0.0","3.0.1"
